regime	window_kb	epoch_progress	epoch	batch	batches_in_epoch	train_loss	source
heldout	10	0.45065344749887337	1	2000.0	4438.0	0.07671	running_log
heldout	10	0.5633168093735917	1	2500.0	4438.0	0.06406	running_log
heldout	10	0.67598017124831	1	3000.0	4438.0	0.05544	running_log
heldout	10	0.7886435331230284	1	3500.0	4438.0	0.04928	running_log
heldout	10	0.9013068949977467	1	4000.0	4438.0	0.04461	running_log
heldout	10	1.0	1			0.041379477599464795	epoch_mean
heldout	10	1.1126633618747184	2	500.0	4438.0	0.01087	running_log
heldout	10	1.2253267237494367	2	1000.0	4438.0	0.01095	running_log
heldout	10	1.337990085624155	2	1500.0	4438.0	0.01091	running_log
heldout	10	1.4506534474988735	2	2000.0	4438.0	0.01088	running_log
heldout	10	1.5633168093735916	2	2500.0	4438.0	0.01078	running_log
heldout	10	1.67598017124831	2	3000.0	4438.0	0.01063	running_log
heldout	10	1.7886435331230284	2	3500.0	4438.0	0.01053	running_log
heldout	10	1.9013068949977467	2	4000.0	4438.0	0.01045	running_log
heldout	10	2.0	2			0.010388177357856262	epoch_mean
heldout	10	2.112663361874718	3	500.0	4438.0	0.00928	running_log
heldout	10	2.2253267237494367	3	1000.0	4438.0	0.00922	running_log
heldout	10	2.337990085624155	3	1500.0	4438.0	0.00913	running_log
heldout	10	2.4506534474988735	3	2000.0	4438.0	0.00906	running_log
heldout	10	2.5633168093735916	3	2500.0	4438.0	0.00899	running_log
heldout	10	2.67598017124831	3	3000.0	4438.0	0.00887	running_log
heldout	10	2.7886435331230284	3	3500.0	4438.0	0.00881	running_log
heldout	10	2.901306894997747	3	4000.0	4438.0	0.00872	running_log
heldout	10	3.0	3			0.008688709718455017	epoch_mean
heldout	10	3.112663361874718	4	500.0	4438.0	0.00737	running_log
heldout	10	3.2253267237494367	4	1000.0	4438.0	0.00729	running_log
heldout	10	3.337990085624155	4	1500.0	4438.0	0.00731	running_log
heldout	10	3.4506534474988735	4	2000.0	4438.0	0.00717	running_log
heldout	10	3.5633168093735916	4	2500.0	4438.0	0.00715	running_log
heldout	10	3.67598017124831	4	3000.0	4438.0	0.00706	running_log
heldout	10	3.7886435331230284	4	3500.0	4438.0	0.00708	running_log
heldout	10	3.901306894997747	4	4000.0	4438.0	0.00707	running_log
heldout	10	4.0	4			0.006992649562209396	epoch_mean
heldout	10	4.112663361874718	5	500.0	4438.0	0.00577	running_log
heldout	10	4.225326723749436	5	1000.0	4438.0	0.00587	running_log
heldout	10	4.337990085624155	5	1500.0	4438.0	0.00587	running_log
heldout	10	4.4506534474988735	5	2000.0	4438.0	0.0058	running_log
heldout	10	4.563316809373592	5	2500.0	4438.0	0.00572	running_log
heldout	10	4.67598017124831	5	3000.0	4438.0	0.00565	running_log
heldout	10	4.788643533123029	5	3500.0	4438.0	0.00564	running_log
heldout	10	4.901306894997747	5	4000.0	4438.0	0.00559	running_log
